"codigo";"descricao";"categoria";"unidade";"marca";"modelo";"peso_kg";"unidades_por_case";"consumo_w";"diaria_brl";"quantidade_total";"em_manutencao";"observacao_tecnica"
"LUZ-7R";"Moving beam 7R";"Luz";"pç";"Briwax";"BX230W-3";"19";"2";"350";"220";"24";"0";"Peso líquido publicado: 19 kg. Consumo de entrada ESTIMADO em 350 W: a página cita 230 W também para a lâmpada; confirmar na etiqueta. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS. Fonte técnica (24/09/2026): https://www.onelightbrasil.com.br/moving-beam-briwax-230-7r-bx230w-3"
"LUZ-WASH19";"Moving wash 19 x 15 W RGBW";"Luz";"pç";"Showtech";"ST-1915X";"6.71";"4";"350";"180";"16";"0";"Peso publicado: 6,71 kg. Consumo elétrico ESTIMADO em 350 W, não confundir com soma dos LEDs. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS. Fonte técnica (24/09/2026): https://showtech.com.br/produtos/19-beam-wash-moving-ead-light-st1915x/"
"LUZ-BEAM200";"Moving beam LED";"Luz";"pç";"Showtech";"ST-200";"8.5";"2";"250";"160";"12";"0";"Peso publicado: 8,5 kg. Consumo de entrada ESTIMADO em 250 W. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS. Fonte técnica (24/09/2026): https://showtech.com.br/produtos/moving-head-beam-200w-st-200/"
"LUZ-WASH-OL";"Moving wash RGBW com zoom";"Luz";"pç";"One Light";"19 x 15 W / 50802";"8";"4";"250";"180";"12";"0";"Peso ESTIMADO em 8 kg. Potência máxima de 250 W publicada pelo fornecedor. Conferir lote. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS. Fonte técnica (24/09/2026): https://www.onelightbrasil.com.br/moving-wash-de-led-19x15w-rgbw-com-zoom-one-light"
"LUZ-PAR18";"PAR LED RGBWA+UV indoor";"Luz";"pç";"One Light";"Slim 18 x 18 W / 52731";"1.5";"12";"150";"45";"96";"0";"Peso e consumo de entrada ESTIMADOS. 18 x 18 W descreve LEDs, não consumo da tomada. Uso indoor. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS. Fonte técnica (24/09/2026): https://www.onelightbrasil.com.br/par-led-slim-rgbwauv-18x18w-onelight"
"LUZ-PAR60";"Refletor RGBWA indoor";"Luz";"pç";"Showtech";"JDB-605";"1.3";"12";"100";"35";"48";"0";"Peso publicado: 1,3 kg. Consumo de entrada ESTIMADO em 100 W. Agrupamento sugerido em case de 12, diferente da caixa comercial de 20. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS. Fonte técnica (24/09/2026): https://showtech.com.br/produtos/refletor-60-leds-rgbwa-jdb-605/"
"LUZ-COB";"Refletor COB branco quente/frio";"Luz";"pç";"Genérico / OEM";"COB LED 200 W";"4";"4";"230";"80";"24";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"LUZ-ELIP";"Elipsoidal LED para palco";"Luz";"pç";"Genérico / OEM";"Perfil LED 200 W";"7";"2";"240";"120";"12";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"LUZ-BRUT";"Blinder LED 2 olhos";"Luz";"pç";"Genérico / OEM";"2 x 100 W";"5";"4";"230";"80";"16";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
"LUZ-STROBO";"Strobo LED RGB";"Luz";"pç";"Genérico / OEM";"Strobo RGB 600 W";"5";"4";"650";"100";"12";"0";"Peso estimado; consumo estimado de entrada elétrica. Quantidade, diária e agrupamento por case sugeridos. Conferir no equipamento antes de usar na OS."
